task,block,file,word,condition
Repetition,Block2,x170abuse.wav,abuse,sing
Repetition,Block2,x122addition.wav,addition,sing
Repetition,Block2,x165admired.wav,admired,sing
Repetition,Block2,x116afraid.wav,afraid,sing
Repetition,Block2,x172amateur.wav,amateur,sing
Repetition,Block2,x173angel.wav,angel,sing
Repetition,Block2,x128anguished.wav,anguished,sing
Repetition,Block2,x203ankle.wav,ankle,sing
Repetition,Block2,x163arm.wav,arm,sing
Repetition,Block2,x183arrival.wav,arrival,sing
Repetition,Block2,x107basement.wav,basement,sing
Repetition,Block2,x189beautiful.wav,beautiful,sing
Repetition,Block2,x133catch.wav,catch,sing
Repetition,Block2,x109chaos.wav,chaos,sing
Repetition,Block2,x122component.wav,component,sing
Repetition,Block2,x158cruel.wav,cruel,sing
Repetition,Block2,x120cute.wav,cute,sing
Repetition,Block2,x136danger.wav,danger,sing
Repetition,Block2,x108dead.wav,dead,sing
Repetition,Block2,x160death.wav,death,sing
Repetition,Block2,x152debt.wav,debt,sing
Repetition,Block2,x159deep.wav,deep,sing
Repetition,Block2,x169demon.wav,demon,sing
Repetition,Block2,x118depression.wav,depression,sing
Repetition,Block2,x195disloyal.wav,disloyal,sing
Repetition,Block2,x123displeased.wav,displeased,sing
Repetition,Block2,x150divorce.wav,divorce,sing
Repetition,Block2,x210easygoing.wav,easygoing,sing
Repetition,Block2,x187ending.wav,ending,sing
Repetition,Block2,x208enjoyment.wav,enjoyment,sing
Repetition,Block2,x207exotic.wav,exotic,sing
Repetition,Block2,x206failure.wav,failure,sing
Repetition,Block2,x121fauna.wav,fauna,sing
Repetition,Block2,x174fearful.wav,fearful,sing
Repetition,Block2,x139filth.wav,filth,sing
Repetition,Block2,x143firm.wav,firm,sing
Repetition,Block2,x154flat.wav,flat,sing
Repetition,Block2,x145freedom.wav,freedom,sing
Repetition,Block2,x191fun.wav,fun,sing
Repetition,Block2,x148greatful.wav,grateful,sing
Repetition,Block2,x175grin.wav,grin,sing
Repetition,Block2,x156guilty.wav,guilty,sing
Repetition,Block2,x135happy.wav,happy,sing
Repetition,Block2,x161hard.wav,hard,sing
Repetition,Block2,x201hatred.wav,hatred,sing
Repetition,Block2,x130hell.wav,hell,sing
Repetition,Block2,x188helpless.wav,helpless,sing
Repetition,Block2,x181honor.wav,honor,sing
Repetition,Block2,x197humid.wav,humid,sing
Repetition,Block2,x186ignorance.wav,ignorance,sing
Repetition,Block2,x124illness.wav,illness,sing
Repetition,Block2,x199immediate.wav,immediate,sing
Repetition,Block2,x167implosion.wav,implosion,sing
Repetition,Block2,x142impotent.wav,impotent,sing
Repetition,Block2,x171indoor.wav,indoor,sing
Repetition,Block2,x202inedible.wav,inedible,sing
Repetition,Block2,x111insane.wav,insane,sing
Repetition,Block2,x182insecure.wav,insecure,sing
Repetition,Block2,x114kindness.wav,kindness,sing
Repetition,Block2,x147liberty.wav,liberty,sing
Repetition,Block2,x178limber.wav,limber,sing
Repetition,Block2,x200lost.wav,lost,sing
Repetition,Block2,x134loyal.wav,loyal,sing
Repetition,Block2,x140manual.wav,manual,sing
Repetition,Block2,x157matriarch.wav,matriarch,sing
Repetition,Block2,x125mentor.wav,mentor,sing
Repetition,Block2,x153millionaire.wav,millionaire,sing
Repetition,Block2,x146outdoor.wav,outdoor,sing
Repetition,Block2,x205outward.wav,outward,sing
Repetition,Block2,x131pleasure.wav,pleasure,sing
Repetition,Block2,x196politeness.wav,politeness,sing
Repetition,Block2,x166profit.wav,profit,sing
Repetition,Block2,x115punishment.wav,punishment,sing
Repetition,Block2,x184quarrel.wav,quarrel,sing
Repetition,Block2,x192rejected.wav,rejected,sing
Repetition,Block2,x155riches.wav,riches,sing
Repetition,Block2,x209rotten.wav,rotten,sing
Repetition,Block2,x106sad.wav,sad,sing
Repetition,Block2,x168soft.wav,soft,sing
Repetition,Block2,x129southern.wav,southern,sing
Repetition,Block2,x113spacious.wav,spacious,sing
Repetition,Block2,x190stench.wav,stench,sing
Repetition,Block2,x198stress.wav,stress,sing
Repetition,Block2,x119stupid.wav,stupid,sing
Repetition,Block2,x117sunrise.wav,sunrise,sing
Repetition,Block2,x179teacher.wav,teacher,sing
Repetition,Block2,x149terrible.wav,terrible,sing
Repetition,Block2,x194terrific.wav,terrific,sing
Repetition,Block2,x180thankful.wav,thankful,sing
Repetition,Block2,x110tidy.wav,tidy,sing
Repetition,Block2,x162tragedy.wav,tragedy,sing
Repetition,Block2,x193traitor.wav,traitor,sing
Repetition,Block2,x127triumph.wav,triumph,sing
Repetition,Block2,x144truth.wav,truth,sing
Repetition,Block2,x132ubiquitous.wav,ubiquitous,sing
Repetition,Block2,x164upset.wav,upset,sing
Repetition,Block2,x138useable.wav,useable,sing
Repetition,Block2,x126useless.wav,useless,sing
Repetition,Block2,x204vacation.wav,vacation,sing
Repetition,Block2,x137victory.wav,victory,sing
Repetition,Block2,x176violent.wav,violent,sing
Repetition,Block2,x141warmth.wav,warmth,sing
Repetition,Block2,x177wedding.wav,wedding,sing
Repetition,Block2,x185western.wav,western,sing
Repetition,Block2,x151westward.wav,westward,sing
